id|категорія|назва|виробник|ціна (грн)|наявність|посилання на фото|опис/характеристики
mtb1|Тренажери МТБ|Тренажер МТБ-1 зі шведською стінкою (60×60)|Сіверспорт|52500|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtb_1-scaled.jpg|Комбінована установка для кінезітерапії та гімнастики. Профіль 60×60 мм. Навантаження: 5–80 кг. Шведська стінка включена. Вага: 35 кг.
mtv1-40|Тренажери МТБ|Тренажер МТВ-1 Проф (профіль 40×40)|Сіверспорт|27500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtv-1-profil-40_40.jpg|Бюджетна модифікація одноблочного тренажера. Профіль: 40×40 мм. Навантаження: 5–60 кг. Один блок. Компактний та простий у монтажі.
mtv1-reg|Тренажери МТБ|Тренажер МТВ-1 з регульованим блоком (60×60)|Сіверспорт|33000|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtv-1-reg.blok.jpg|МТВ-1 з регульованим блоком. Профіль: 60×60 мм. Навантаження: 5–80 кг. Дозволяє змінювати висоту точки кріплення троса.
mtb1-prof|Тренажери МТБ|Тренажер МТБ-1 Проф з регульованим блоком (60×60)|Сіверспорт|30000|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-1-prof80.jpg|Одноблочний тренажер з регульованим блоком на посиленому профілі 60×60 мм. Навантаження: до 100 кг. Рекомендований для реабілітаційних центрів.
mtb1-shvedska|Тренажери МТБ|Тренажер Бубновського зі шведською стінкою (60×60)|Сіверспорт|116600|В наявності|https://siversport.com/wp-content/uploads/2025/02/kzs013shl_mtb-3-scaled.jpg|Повноцінна реабілітаційна установка для клінік. Профіль: 60×60 мм. Шведська стінка інтегрована. Висота: 220 см. Для групових та індивідуальних занять.
mtb2|Тренажери МТБ|Тренажер МТБ-2 (профіль 60×60)|Сіверспорт|62500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-2-prof80.jpg|Двоблочний тренажер з верхнім та нижнім блоком. Профіль: 60×60 мм. Навантаження: 5–120 кг. Вага: 38 кг. Для лікування захворювань хребта та суглобів.
mtb2-40|Тренажери МТБ|Тренажер МТБ-2 (профіль 40×40)|Сіверспорт|57500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtv-2-profil-40_40.jpg|Доступна двоблочна версія. Профіль: 40×40 мм. Навантаження: до 80 кг. Два блоки. Компактне рішення для кінезітерапії.
mtv2-reg|Тренажери МТБ|Тренажер МТВ-2 з регульованим блоком (60×60)|Сіверспорт|68500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-2-reg80-1.jpg|Вдосконалена двоблочна модель. Профіль: 60×60 мм. Регульовані блоки. Навантаження: до 120 кг. Переміщення блоків по вертикальних напрямляючих.
mtb4|Тренажери МТБ|Тренажер МТБ-4 (профіль 60×60)|Сіверспорт|126600|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-4-prof80.jpg|Чотириблочний тренажер для реабілітаційних центрів. Профіль: 60×60 мм. Навантаження: до 200 кг. Вага: 85 кг. Можливість одночасної роботи двох пацієнтів.
mtb4-reg|Тренажери МТБ|Тренажер МТБ-4 з регульованим блоком (60×60)|Сіверспорт|138600|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtb-4-reg-scaled.jpg|Найбільш функціональна чотириблочна модель. Профіль: 60×60 мм. 4 регульовані блоки по висоті. Для великих клінік.
bench1|Лавки та гіперекстензії|Лавка реабілітаційна складна MTB-31|Сіверспорт|6500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-31v2.jpg|Багатофункціональна реабілітаційна лавка. Навантаження: до 180 кг. Кут нахилу: 0–80°. Вага: 18 кг. Розміри: 120×45×50 см.
bench-mtb30|Лавки та гіперекстензії|Лавка реабілітаційна пряма MTB-30|Сіверспорт|3000|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-30v2.jpg|Горизонтальна реабілітаційна лавка. Навантаження: до 180 кг. Для роботи з тренажером МТБ та масажних процедур.
bench-vitjag|Лавки та гіперекстензії|Лавка для витягування хребта MTB-009|Сіверспорт|19800|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-009v1.jpg|Реабілітаційна лавка для декомпресії хребта. Навантаження: до 150 кг. Регульований кут. При грижах та протрузіях.
hyperext1|Лавки та гіперекстензії|Гіперекстензія домашня SW-301|Сіверспорт|5900|В наявності|https://siversport.com/wp-content/uploads/2025/04/sw301.jpg|Гіперекстензія для поперекового відділу хребта. Навантаження: до 150 кг. 5 рівнів регулювання висоти. Вага: 15 кг.
bench-sw300|Лавки та гіперекстензії|Лавка для преса комбінована SW-300|Сіверспорт|4000|В наявності|https://siversport.com/wp-content/uploads/2025/04/sw300.jpg|Комбінована лавка з фіксатором ніг. Навантаження: до 150 кг. Регульований кут нахилу спинки.
bench-sw303|Лавки та гіперекстензії|Лавка атлетична універсальна SW-303|Сіверспорт|7000|В наявності|https://siversport.com/wp-content/uploads/2025/04/sw303.jpg|Універсальна атлетична лавка. 5 положень спинки. Навантаження: до 300 кг. Для силових тренувань та реабілітації.
bench-sw308|Лавки та гіперекстензії|Лавка профі SW-308|Сіверспорт|6600|В наявності|https://siversport.com/wp-content/uploads/2025/04/sw308.jpg|Професійна лавка для реабілітаційних центрів. Навантаження: до 400 кг. Посилена рама. Широке м'яке ложе.
bench-roman|Лавки та гіперекстензії|Римський стілець реабілітаційний SVS-112|Сіверспорт|11900|В наявності|https://siversport.com/wp-content/uploads/2025/06/svs-112-scaled.jpg|Реабілітаційний римський стілець. Навантаження: до 140 кг. Матеріал: сталь + екошкіра. Вага: 12 кг.
bench-svs113|Лавки та гіперекстензії|Римський стілець регульований SVS-113|Сіверспорт|14750|В наявності|https://siversport.com/wp-content/uploads/2025/06/svs-113-scaled.jpg|Вдосконалений римський стілець. Навантаження: до 150 кг. Регульований кут нахилу корпусу та висота упорів.
bench-svs119|Лавки та гіперекстензії|Гіперекстензія горизонтальна SVS-119|Сіверспорт|12000|В наявності|https://siversport.com/wp-content/uploads/2025/06/svs-1191-scaled.jpg|Горизонтальна гіперекстензія. Навантаження: до 150 кг. Матеріал: сталь. Цільова робота з розгиначами спини.
bench-svs127|Лавки та гіперекстензії|Гіперекстензія зворотна SVS-127|Сіверспорт|12000|В наявності|https://siversport.com/wp-content/uploads/2025/06/svs-1271-scaled.jpg|Зворотна гіперекстензія. Навантаження: до 120 кг. Для реабілітації поперека та зміцнення сідниць.
bench-svs108|Лавки та гіперекстензії|Гіперекстензія регульована SVS-108|Сіверспорт|16600|В наявності|https://siversport.com/wp-content/uploads/2024/10/svs-108v1.jpg|Регульована гіперекстензія 45°. Навантаження: до 150 кг. М'які валики. Для клінік та домашнього використання.
bench-svs145|Лавки та гіперекстензії|Лавка регульована SVS-145|Сіверспорт|14780|В наявності|https://siversport.com/wp-content/uploads/2025/06/svs-145-scaled.jpg|Сучасна регульована лавка. Навантаження: до 200 кг. Незалежне регулювання кута спинки та сидіння. Для клінік.
massage1|Масажні столи та стільці|Масажний стіл складний (алюміній) MTB-051|Сіверспорт|11200|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-051.jpg|Алюмінієвий складний масажний стіл. Висота: 60–85 см (регульована). Навантаження: до 250 кг. Вага: 11 кг. Матеріал: алюміній.
massage2|Масажні столи та стільці|Масажний стіл стаціонарний MTB-050|Сіверспорт|18400|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-050.jpg|Стаціонарний масажний стіл підвищеної міцності. Висота: 70 см. Ширина: 65 см. Навантаження: до 300 кг. Матеріал: бук + медична шкіра.
massage-chair|Масажні столи та стільці|Масажний стілець для шийно-комірцевої зони MTB-052|Сіверспорт|7900|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-052.jpg|Ергономічний складний стілець для масажу. Вага: 7 кг. Навантаження: до 150 кг. Матеріал: сталь + нейлон. Підходить для виїзду.
bars1|Бруси та сходи|Паралельні бруси реабілітаційні MTB-016|Сіверспорт|36250|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-016.jpg|Паралельні бруси для відновлення навичок ходьби. Довжина: 200 см. Висота: 65–95 см. Ширина: 55–90 см. Навантаження: до 200 кг.
bars-mtb018|Бруси та сходи|Бруси реабілітаційні з перешкодами MTB-018|Сіверспорт|52000|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-018.jpg|Паралельні бруси з вбудованими перешкодами. Довжина: 200 см. Навантаження: до 200 кг. Для відпрацювання підняття ніг.
bars-mtb019|Бруси та сходи|Бруси реабілітаційні дитячі з перешкодами MTB-019|Сіверспорт|48000|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-019.jpg|Дитячі паралельні бруси з перешкодами. Регульована висота. Для дітей після травм та при ДЦП.
bars-mtb020|Бруси та сходи|Бруси реабілітаційні з перешкодами MTB-020|Сіверспорт|56000|В наявності|https://siversport.com/wp-content/uploads/2025/01/mtb-020v2.jpg|Паралельні бруси другого покоління. Регульовані перешкоди. Довжина: 200 см. Навантаження: до 200 кг.
stairs1|Бруси та сходи|Реабілітаційні сходи (3 сходинки) MTB-029|Сіверспорт|42500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-029.jpg|Реабілітаційні сходи з поручнями з обох сторін. 3 сходинки. Висота поручнів: 90 см. Навантаження: до 180 кг.
stairs-mtb028|Бруси та сходи|Сходи з похилою рампою MTB-028|Сіверспорт|40000|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-028.jpg|Комбіновані сходи з похилою рампою. Поручні з двох сторін. Навантаження: до 180 кг. Для пацієнтів із мінімальною рухливістю.
stairs-mtb033|Бруси та сходи|Сходи кутові з похилою рампою MTB-033|Сіверспорт|43500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-033.jpg|Кутові реабілітаційні сходи з рампою. Навантаження: до 180 кг. Прямі та бічні кроки. Розширена програма реабілітації.
mtv070|Інше реабілітаційне обладнання|Універсальна кабіна МТВ-070|Сіверспорт|64000|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-070.jpg|Повноцінна реабілітаційна кабіна. МТБ + шведська стінка + підвісна терапія. Максимальна функціональність на мінімальній площі.
mtv070-1|Інше реабілітаційне обладнання|Шведська стінка для кабіни МТВ-070.1|Сіверспорт|6000|В наявності|https://siversport.com/wp-content/uploads/2025/02/kzs013shl_mtb-3-scaled.jpg|Приставка-шведська стінка для кабіни МТВ-070. Матеріал: сталь. Вправи на розтяжку та підтягування.
mtv070-2|Інше реабілітаційне обладнання|Приставка для підвісної терапії МТВ-070.2|Сіверспорт|10500|В наявності|https://siversport.com/wp-content/uploads/2024/10/mtb-016.jpg|Модуль підвісної терапії для кабіни МТВ-070. Вправи в підвісі. Для неврологічної реабілітації.
acc-handles|Аксесуари до МТБ|Ручка для тяги 46 см MTB-21|Сіверспорт|400|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtb-21-scaled.jpg|Стандартна коротка ручка для тяги. Довжина: 46 см. Матеріал: сталь. Сумісно: МТБ-1, МТБ-2, МТБ-4.
acc-carabiner|Аксесуари до МТБ|Ланцюг-подовжувач з карабіном MTB-16|Сіверспорт|200|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-16.jpg|Сталевий ланцюг-подовжувач з карабіном. Довжина: 80 см. Навантаження: до 300 кг. Матеріал: сталь.
mtb10|Аксесуари до МТБ|Манжети м'які MTB-10|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-10.jpg|М'які манжети для рук та ніг. Матеріал: м'який. Для рівномірного розподілу навантаження. Універсальний розмір.
mtb11|Аксесуари до МТБ|Манжети м'які дитячі MTB-11|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-11.jpg|Дитячі м'які манжети. Зменшене охоплення. Від 5 років. М'який матеріал.
mtb12|Аксесуари до МТБ|Манжети жорсткі MTB-12|Сіверспорт|1000|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-12.jpg|Жорсткі манжети з надійним замком. Для великих навантажень. Стабільна фіксація руки або ноги.
mtb13|Аксесуари до МТБ|Сандал реабілітаційний MTB-13|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-13.jpg|Безрозмірний реабілітаційний сандал. Для кріплення стопи до троса МТБ. Матеріал: нейлон.
mtb14|Аксесуари до МТБ|Сандал реабілітаційний дитячий MTB-14|Сіверспорт|800|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-14.jpg|Дитячий реабілітаційний сандал. Для кріплення дитячої стопи до МТБ. Матеріал: нейлон.
mtb15|Аксесуари до МТБ|Петля м'яка MTB-15|Сіверспорт|140|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-15.jpg|М'яка нейлонова петля. Нейтральний хват. Матеріал: нейлон. Альтернативні способи кріплення.
mtb17|Аксесуари до МТБ|Ручка для тяги закрита MTB-17|Сіверспорт|400|В наявності|https://siversport.com/wp-content/uploads/2025/02/kzs-401r-v1-scaled.jpg|Закрита ручка з нейтральним хватом. Матеріал: сталь + гума. Зменшує навантаження на зап'ястя та лікті.
mtb18|Аксесуари до МТБ|Ручка для тяги закрита м'яка MTB-18|Сіверспорт|400|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-18.jpg|М'яка закрита ручка з нейлоновим покриттям. Нейтральний хват. Для початківців та людей з чутливою шкірою.
mtb19|Аксесуари до МТБ|Ручка для тяги зверху 120 см MTB-19|Сіверспорт|500|В наявності|https://siversport.com/wp-content/uploads/2025/02/kzs-404-v1-scaled.jpg|Довга пряма ручка 120 см. Широкий хват. Матеріал: сталь. Для тяги верхнього блоку.
mtb20|Аксесуари до МТБ|Ручка для тяги зверху 120 см (внутрішній хват) MTB-20|Сіверспорт|600|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-20.jpg|Довга ручка 120 см із зворотним хватом. Матеріал: сталь. Акцент на широких м'язах спини та біцепсі.
mtb26|Аксесуари до МТБ|Ручка на трицепс MTB-26|Сіверспорт|500|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-26-v1-scaled.jpg|Мотузкова ручка для трицепса. Матеріал: нейлон + сталь. Нейтральний хват. Свобода руху зап'ястя.
mtb27|Аксесуари до МТБ|Подовжувач м'який з карабіном MTB-27|Сіверспорт|160|В наявності|https://siversport.com/wp-content/uploads/2025/02/mtv-27.jpg|М'який нейлоновий подовжувач з карабіном. Не травмує руки. Матеріал: нейлон.
